Keyword,Total Term Frequency,Total Document Frequency,DoV,DoD,quadrant_DoV,quadrant_DoD
revolver,43,32,3.1088021709515754e-05,0.005030987579378357,Weak,Weak
termico,30,18,3.105264027962623e-05,0.003997156116267522,Weak,Weak
capo,57,39,3.100740440095992e-05,0.0046313214064965715,Weak,Weak
benjamin,58,54,3.0950309825182234e-05,0.00608047729046338,Weak,Weak
balcon,14,9,3.0922955900968237e-05,0.004491615130772701,Weak,Weak
antisocial,71,60,3.0867534609915305e-05,0.005714903215448507,Weak,Weak
0500,114,102,3.08270107302935e-05,0.005869836566046413,Weak,Weak
glock,14,8,3.078087410246443e-05,0.004050910714137708,Weak,Weak
excandidato,138,107,3.0778111145540744e-05,0.005311902742649722,Weak,Weak
orgullo,35,23,3.0741622425939656e-05,0.004352381317794016,Weak,Weak
pericia,118,97,3.0725690365900265e-05,0.005193810246964519,Weak,Weak
jhon,66,46,3.0706161621620086e-05,0.004483144719807233,Weak,Weak
daysuris,14,9,3.0646312799963216e-05,0.004044319766404648,Weak,Weak
habitat,7,5,3.059728591986873e-05,0.004656160458452721,Weak,Weak
milimetro,97,63,3.0590950932830347e-05,0.004153240889907299,Weak,Weak
elizabeth,67,48,3.0538751213354466e-05,0.004354512294846959,Weak,Weak
ocupante,100,87,3.0504482002503274e-05,0.005537251076007323,Weak,Weak
artesanal,135,101,3.045223772983097e-05,0.004273657381032879,Weak,Weak
exvocal,7,5,3.0425669606204903e-05,0.004907306434023991,Weak,Weak
quitorenace,7,6,3.0425669606204903e-05,0.0058887677208287895,Weak,Weak
decimotercer,7,5,3.0425669606204903e-05,0.004907306434023991,Weak,Weak
obstruir,7,6,3.0425669606204903e-05,0.0058887677208287895,Weak,Weak
jovenes,7,5,3.0425669606204903e-05,0.004907306434023991,Weak,Weak
extremadamente,93,67,3.0400851693508644e-05,0.004506902978170974,Weak,Weak
christopher,14,9,3.036419381562619e-05,0.004326970532182259,Weak,Weak
teleamazonasec,7,7,3.030098983233452e-05,0.005790441176470588,Weak,Weak
atribuido,47,44,3.0295665507141014e-05,0.006017774692576444,Weak,Weak
acompanada,28,26,3.0280622732514577e-05,0.005928109079993292,Weak,Weak
nexo,53,46,3.016279838479943e-05,0.005733205759037345,Weak,Weak
nocturno,105,78,3.0121501156735917e-05,0.004871994068626119,Weak,Weak
soledad,60,44,3.00969291833016e-05,0.004702463766617033,Weak,Weak
gdo,56,45,3.0081383732234294e-05,0.00514814891201215,Weak,Weak
rival,73,61,3.0053437472837542e-05,0.005381087207576943,Weak,Weak
narcis,14,9,2.9986781011040157e-05,0.004208039181924276,Weak,Weak
one,22,14,2.99465462824219e-05,0.004176262266415904,Weak,Weak
bogota,148,103,2.989903926123934e-05,0.00441431669440626,Weak,Weak
clandestinidad,22,18,2.989366583329446e-05,0.005232896355718347,Weak,Weak
muro,122,89,2.984987935270564e-05,0.00466445981850745,Weak,Weak
oculto,101,76,2.9798248671032196e-05,0.004743775155964221,Weak,Weak
almuerzo,42,29,2.9783502262790616e-05,0.004283716349585117,Weak,Weak
is,42,33,2.978093310551213e-05,0.005001866857497572,Weak,Weak
alban,17,12,2.9714421420880814e-05,0.004190947076734974,Weak,Weak
disfrutar,47,37,2.971110508530163e-05,0.004900989366935987,Weak,Weak
paramedico,56,45,2.9696323786963365e-05,0.00518432245064331,Weak,Weak
nicaraguens,33,22,2.9693308133046898e-05,0.004065605197312976,Weak,Weak
aprehendio,42,40,2.969073742881938e-05,0.005845268238092237,Weak,Weak
custodiar,105,87,2.9679929212491066e-05,0.005221626904914239,Weak,Weak
dictamino,7,7,2.954789241587541e-05,0.0061403508771929825,Weak,Weak
distribuidoro,7,7,2.954789241587541e-05,0.0061403508771929825,Weak,Weak
